StartDate,EndDate,Period,Nike,Adidas,UnderArmor
07/16/2020,08/15/2020,07/16/2020~08/15/2020,64,60,15
08/15/2020,09/14/2020,08/15/2020~09/14/2020,174,133,32
09/14/2020,10/15/2020,09/14/2020~10/15/2020,180,133,37
10/15/2020,11/14/2020,10/15/2020~11/14/2020,74,60,18
11/14/2020,12/15/2020,11/14/2020~12/15/2020,249,140,34
12/15/2020,01/14/2021,12/15/2020~01/14/2021,244,174,45
01/14/2021,02/13/2021,01/14/2021~02/13/2021,240,252,44
02/13/2021,03/16/2021,02/13/2021~03/16/2021,110,73,29
03/16/2021,04/15/2021,03/16/2021~04/15/2021,1,221,57
04/15/2021,05/16/2021,04/15/2021~05/16/2021,5,2,64
05/16/2021,06/15/2021,05/16/2021~06/15/2021,149,140,33
06/15/2021,07/16/2021,06/15/2021~07/16/2021,528,365,66
